INSTNM,ZIP,ZIP5,lat,lon
Brownson Technical School,92805,92805,33.8359,-117.9086
Bryan University,85281,85281,33.4227,-111.9261
Butte College,95965-8399,95965,39.6054,-121.5751
Phillips Graduate University,91311,91311,34.2583,-118.5914
California Institute of Integral Studies,94103,94103,37.7725,-122.4147
Cabrillo College,95003,95003,36.9797,-121.8902
California Baptist University,92504-3297,92504,33.9315,-117.4119
California College of the Arts,94107-2247,94107,37.7621,-122.3971
University of California College of the Law-San Francisco,94102-4978,94102,37.7813,-122.4167
California Institute of Technology,91125,91125,34.1478,-118.1445
California Lutheran University,91360-2787,91360,34.2092,-118.8739
California Polytechnic State University-San Luis Obispo,93407,93407,35.2828,-120.6596
Alliant International University-San Diego,92131,92131,32.9123,-117.0898
California State University-Bakersfield,93311-1099,93311,35.3039,-119.1056
California State University-Stanislaus,95382-0299,95382,37.5239,-120.8517
California State University-San Bernardino,92407-2393,92407,34.2166,-117.3908
California State Polytechnic University-Pomona,91768,91768,34.0662,-117.7763
California State University-Chico,95929-0150,95929,39.7301,-121.8414
California State University-Dominguez Hills,90747-0005,90747,33.8671,-118.2538
California State University-Fresno,93740,93740,36.7464,-119.6397
California State University-Fullerton,92832-3599,92832,33.868,-117.9265
California State University-East Bay,94542,94542,37.6586,-122.0472
California State University-Long Beach,90840-0115,90840,33.7843,-118.1157
California State University-Los Angeles,90032-8506,90032,34.0818,-118.1753
California State University-Northridge,91330,91330,34.2283,-118.5368
California State University-Sacramento,95819-2694,95819,38.5683,-121.4366
University of California-Berkeley,94720,94720,37.8738,-122.2549
University of California-Davis,95616-8678,95616,38.5538,-121.7418
University of California-Irvine,92697,92697,33.6485,-117.8387
University of California-Los Angeles,90095-1405,90095,33.7866,-118.2987
University of California-Riverside,92521,92521,33.9533,-117.3962
University of California-San Diego,92093,92093,32.8473,-117.2742
University of California-San Francisco,94143-0244,94143,37.7631,-122.4586
University of California-Santa Barbara,93106,93106,34.4329,-119.8371
University of California-Santa Cruz,95064-1011,95064,36.9959,-122.0578
Sofia University,94303,94303,37.4673,-122.1388
California Beauty School,95354,95354,37.6409,-120.9749
California Christian College,93727,93727,36.7528,-119.7061
California College San Diego,92111-1009,92111,32.7972,-117.1708
Le Cordon Bleu College of Culinary Arts-San Francisco,94103,94103,37.7725,-122.4147
California Hair Design Academy,91942-5055,91942,32.7835,-117.0189
California Institute of the Arts,91355-2397,91355,34.3985,-118.5535
California State University Maritime Academy,94590-8181,94590,38.1053,-122.2474
California Western School of Law,92101-3046,92101,32.7185,-117.1593
Canada College,94061-1099,94061,37.4647,-122.2304
College of the Canyons,91355-1899,91355,34.3985,-118.5535
Career Academy of Beauty,92845,92845,33.7787,-118.0267
Casa Loma College-Los Angeles,91403,91403,34.1514,-118.4603
CET-San Diego,92102,92102,32.7139,-117.1219
CET-San Jose,95110,95110,37.3391,-121.9016
CET-El Centro,92243,92243,32.7893,-115.5665
CET-Colton,92324,92324,34.0315,-117.2874
CET-Watsonville,95076,95076,36.9102,-121.7569
CET-Gilroy,95020,95020,37.0139,-121.5773
CET-Salinas,93906,93906,36.7103,-121.6438
Cerritos College,90650-6298,90650,33.9056,-118.0818
Cerro Coso Community College,93555-9571,93555,35.6225,-117.6709
Chabot College,94545,94545,37.6332,-122.0971
Chaffey College,91737-3002,91737,34.1467,-117.5803
Chapman University,92866,92866,33.7877,-117.8423
Charles R Drew University of Medicine and Science,90059,90059,33.9293,-118.2463
Concordia University-Irvine,92612-3203,92612,33.6607,-117.8264
San Diego Christian College,92071,92071,32.8486,-116.9862
Church Divinity School of the Pacific,94709-1211,94709,37.8784,-122.2655
Citrus College,91741-1899,91741,34.1537,-117.8437
City College of San Francisco,94112-1898,94112,37.7195,-122.4411
Claremont Graduate University,91711-6160,91711,34.1092,-117.7183
Claremont McKenna College,91711-6400,91711,34.1092,-117.7183
Milan Institute-Visalia,93277,93277,36.3114,-119.3065
Cleveland Chiropractic College of Los Angeles,90004-2196,90004,34.0762,-118.3029
Clovis Adult Education,93611,93611,36.8253,-119.6802
Coastline Community College,92708-2597,92708,33.7102,-117.9503
University of Silicon Valley,95134,95134,37.4087,-121.9406
Coleman University,92123-1506,92123,32.7973,-117.1392
Coba Academy,92801,92801,33.8428,-117.9546
National Polytechnic College of Science,90744-6399,90744,33.7855,-118.2645
Western University of Health Sciences,91766-1854,91766,34.0418,-117.7569
Columbia College,95370,95370,37.9957,-120.3368
California College of ASU,90015,90015,34.0434,-118.2716
Compton College,90221-5393,90221,33.8796,-118.2168
Western Beauty Institute,91402,91402,34.2262,-118.447
Contra Costa College,94806,94806,37.9724,-122.3369
Cosumnes River College,95823-5799,95823,38.4797,-121.4438
Crafton Hills College,92339-1799,92339,34.0937,-116.9362
Cuesta College,93403-8106,93403,35.2828,-120.6596
Cuyamaca College,92019,92019,32.7777,-116.9191
Marinello Schools of Beauty-Bell,90201,90201,33.9653,-118.1515
Cypress College,90630-5897,90630,33.8181,-118.0357
De Anza College,95014,95014,37.318,-122.0449
Marinello Schools of Beauty-Hemet,92545,92545,33.7399,-117.0151
International School of Beauty Inc,92260-2740,92260,33.7225,-116.377
Dell'Arte International School of Physical Theatre,95525-0816,95525,40.9374,-123.8913
College of the Desert,92260,92260,33.7225,-116.377
Design Institute of San Diego,92121,92121,32.8919,-117.2035
DeVry University-California,91768-2642,91768,34.0662,-117.7763
Diablo Valley College,94523,94523,37.954,-122.0737
Dominican University of California,94901-2298,94901,37.9691,-122.5105
Dominican School of Philosophy & Theology,94708-1816,94708,37.8918,-122.2604
East Los Angeles College,91754-6099,91754,34.0534,-118.1271
Marinello Schools of Beauty-Santa Clara,95050,95050,37.3492,-121.953
San Diego Continuing Education,92113,92113,32.697,-117.1153
El Camino Community College District,90506,90506,33.7866,-118.2987
Elegance International,90028,90028,34.1005,-118.3254
Marinello Schools of Beauty-City of Industry,91748,91748,33.9818,-117.8969
Marinello Schools of Beauty-Burbank,91502,91502,34.1745,-118.3059
Marinello Schools of Beauty-Moreno Valley,92553,92553,33.9157,-117.2351
Emperor's College of Traditional Oriental Medicine,90403,90403,34.0287,-118.4924
Empire College,95403-2126,95403,38.4822,-122.7473
Evergreen Valley College,95135-1598,95135,37.2974,-121.7562
FIDM-Fashion Institute of Design & Merchandising,90015-1421,90015,34.0434,-118.2716
Fashion Careers College,921103555,92110,32.7635,-117.2028
FIDM-Fashion Institute of Design & Merchandising-San Francisco,94108-5805,94108,37.7929,-122.4079
FIDM-Fashion Institute of Design & Merchandising-Orange County,92614-5610,92614,33.6829,-117.8298
Feather River Community College District,95971-9124,95971,39.9284,-120.9698
Federico Beauty Institute,95834,95834,38.6383,-121.5072
Fielding Graduate University,93105-3538,93105,34.4369,-119.7285
Five Branches University,95062,95062,36.9721,-121.9881
Hair California Beauty Academy,92867,92867,33.811,-117.8493
Foothill College,94022,94022,37.3814,-122.1258
Franciscan School of Theology,92110,92110,32.7635,-117.2028
Fredrick and Charles Beauty College,95501,95501,40.7938,-124.1573
Fresno City College,93741,93741,36.7464,-119.6397
Fresno Pacific University,93702-4709,93702,36.74,-119.7532
Fuller Theological Seminary,91182,91182,34.1478,-118.1445
Fullerton College,92832-2095,92832,33.868,-117.9265
Galen College of Medical and Dental Assistants,95350,95350,37.6746,-121.0113
Galen College of Medical and Dental Assistants,93611-4002,93611,36.8253,-119.6802
Gavilan College,95020,95020,37.0139,-121.5773
Gemological Institute of America-Carlsbad,92008,92008,33.1602,-117.325
Glendale Community College,91208-2894,91208,34.1921,-118.235
Glendale Career College,91203,91203,34.1517,-118.2636
Golden Gate University,94105-2968,94105,37.7864,-122.3892
Golden West College,92647-2710,92647,33.721,-118.0033
Graduate Theological Union,94709,94709,37.8784,-122.2655
Grossmont College,92020-1799,92020,32.7928,-116.9665
Salon Success Academy-Riverside,92506,92506,33.9455,-117.3757
Harbor Occupational Center,90731,90731,33.7339,-118.2914
Hartnell College,93901,93901,36.6677,-121.6596
Harvey Mudd College,91711,91711,34.1092,-117.7183
Heald College-Rancho Cordova,95670,95670,38.6072,-121.2761
Heald College-Fresno,93704,93704,36.7991,-119.8016
Heald College-San Jose,95035-8008,95035,37.4352,-121.895
Heald College-San Francisco,94103,94103,37.7725,-122.4147
Heald College-Concord,94520-0522,94520,37.9823,-122.0362
Hilltop Beauty School,94014,94014,37.6875,-122.4388
Holy Names University,94619-1699,94619,37.7878,-122.1884
Pacifica Graduate Institute,93013,93013,34.4036,-119.5183
California State Polytechnic University-Humboldt,95521-8299,95521,40.8742,-124.0765
Humphreys University-Stockton and Modesto Campuses,95207,95207,38.0024,-121.3238
Imperial Valley College,92251-0158,92251,32.847,-115.573
Institute for Business and Technology,95051-1303,95051,37.3483,-121.9844
LA College International,900101308,90010,34.0606,-118.3027
Interior Designers Institute,92660,92660,33.6295,-117.8684
International School of Cosmetology,90036,90036,34.0699,-118.3492
Irvine Valley College,92618-0301,92618,33.7074,-117.7054
ITT Technical Institute-National City,91950,91950,32.6749,-117.0897
ITT Technical Institute-San Dimas,91773,91773,34.1023,-117.8169
ITT Technical Institute-Orange,92868,92868,33.7875,-117.8776
Bellus Academy-El Cajon,92021,92021,32.8178,-116.9223
Jesuit School of Theology of Santa Clara University,94709,94709,37.8784,-122.2655
John F. Kennedy University,94523-4817,94523,37.954,-122.0737
American Jewish University,90077-1519,90077,34.1112,-118.4502
Reedley College,93654,93654,36.6044,-119.4378
Life Pacific University,91773-3298,91773,34.1023,-117.8169
Argosy University-The Art Institute of California-San Diego,92108-4423,92108,32.7783,-117.1335
University of La Verne,91750-4401,91750,34.1159,-117.7708
Laguna College of Art and Design,92651,92651,33.5429,-117.7813
Lake Tahoe Community College,96150,96150,38.917,-119.9865
Lancaster Beauty School,93534,93534,34.6909,-118.1491
Laney College,94607,94607,37.8071,-122.2851
Lassen Community College,96130,96130,40.3983,-120.6464
Life Chiropractic College West,94545-2570,94545,37.6332,-122.0971
Lincoln University,94612-2801,94612,37.8085,-122.2668
Southern California Seminary,92019-1108,92019,32.7777,-116.9191
La Sierra University,92505-8247,92505,33.9228,-117.4867
Loma Linda University,92350,92350,34.0483,-117.2612
Long Beach City College,90808-1706,90808,33.8241,-118.1103
Southern California University of Health Sciences,90604,90604,33.9299,-118.0121
Los Angeles Harbor College,90744-2397,90744,33.7855,-118.2645
Los Angeles Pierce College,91371-0002,91371,34.1683,-118.6059
Los Angeles Southwest College,90047-4899,90047,33.9569,-118.3073
Los Angeles Trade Technical College,90015-4181,90015,34.0434,-118.2716
Los Angeles Valley College,91401-4096,91401,34.1802,-118.4324
The Master's University and Seminary,91321-1200,91321,34.3795,-118.523
Los Angeles City College,90029,90029,34.09,-118.2944
Los Angeles County College of Nursing and Allied Health,90033-1084,90033,34.0487,-118.2084
Los Angeles Mission College,91342-3200,91342,34.3054,-118.4322
Los Medanos College,94565,94565,38.0031,-121.9172
Argosy University-The Art Institute of California-San Francisco,94102-4908,94102,37.7813,-122.4167
Loyola Marymount University,90045-2659,90045,33.9631,-118.3941
Manchester Beauty College,93726,93726,36.7949,-119.7604
Tulare Beauty College,93274,93274,36.2022,-119.338
Lyle's College of Beauty,93301,93301,35.3866,-119.0171
Lyle's College of  Beauty,93710,93710,36.8236,-119.7621
Lytles Redwood Empire Beauty College,95403,95403,38.4822,-122.7473
MTI Business College Inc,95207-4349,95207,38.0024,-121.3238
MTI College,95841-9817,95841,38.6627,-121.3406
Brightwood College-Sacramento,95821,95821,38.6239,-121.3837
Brightwood College-San Diego,92123,92123,32.7973,-117.1392
Brightwood College-Vista,92083-7736,92083,33.1978,-117.2482
College of Marin,94904-2590,94904,37.9479,-122.5363
Marinello Schools of Beauty-Los Angeles,90023,90023,34.0245,-118.1975
Marinello School of Beauty,90301,90301,33.955,-118.3556
Marinello School of Beauty,90601,90601,34.0011,-118.0371
Marinello School of Beauty,90041,90041,34.1339,-118.2082
Marinello School of Beauty,91335,91335,34.2007,-118.5391
Marinello School of Beauty,91606,91606,34.1872,-118.3865
Marinello School of Beauty,91764,91764,34.0763,-117.6254
Marinello School of Beauty,92126,92126,32.9161,-117.1402
Marinello School of Beauty,92410,92410,34.1069,-117.2975
Marinello School of Beauty,91790,91790,34.0673,-117.9366
Marymount California University,90275-6299,90275,33.7515,-118.367
Mendocino College,95482,95482,39.1552,-123.1951
Menlo College,94027-4301,94027,37.4563,-122.2002
Mennonite Brethren Biblical Seminary,93727-5097,93727,36.7528,-119.7061
Merced College,95348-2806,95348,37.3302,-120.508
Merritt College,94619-3196,94619,37.7878,-122.1884
Northeastern University Oakland,94613,94613,37.7811,-122.1866
MiraCosta College,92056-3899,92056,33.1968,-117.2831
Marinello Schools of Beauty-San Francisco,94103,94103,37.7725,-122.4147
Mission College,95054-1897,95054,37.3924,-121.9623
Modern Beauty Academy,93030,93030,34.2141,-119.175
Brightwood College-Los Angeles-Van Nuys,91406,91406,34.2006,-118.4868
Modesto Junior College,95350-5800,95350,37.6746,-121.0113
Moler Barber College,94609-2419,94609,37.8361,-122.2637
Middlebury Institute of International Studies at Monterey,93940,93940,36.5802,-121.8443
Monterey Peninsula College,93940-4799,93940,36.5802,-121.8443
Moorpark College,93021-1695,93021,34.2784,-118.8771
Mt San Antonio College,91789-1399,91789,34.0183,-117.8546
Mount Saint Mary's University,90049-1599,90049,34.066,-118.474
Mt San Jacinto Community College District,92583-2399,92583,33.7967,-116.9324
Mueller College,92108-3002,92108,32.7783,-117.1335
Musicians Institute,90028,90028,34.1005,-118.3254
Napa Valley College,94558-6236,94558,38.4549,-122.2564
Everest College-San Francisco,94103-9946,94103,37.7725,-122.4147
Everest College-Reseda,91335-4631,91335,34.2007,-118.5391
Everest College-LA Wilshire,90010,90010,34.0606,-118.3027
Everest College-San Jose,95128,95128,37.3163,-121.9356
Everest College-Gardena,90247,90247,33.8925,-118.2961
Everest College-Alhambra,91803,91803,34.0745,-118.1434
Everest College-San Bernardino,92408,92408,34.0831,-117.2711
The National Hispanic University,95127-3823,95127,37.3692,-121.8208
National Holistic Institute,94608-2008,94608,37.8365,-122.2804
National University,92123,92123,32.7973,-117.1392
Newschool of Architecture and Design,92101,92101,32.7185,-117.1593
Marinello School of Beauty,90048,90048,34.0737,-118.372
